id	theta	r	color	phy	bg_color
s__Megasphaera_cerevisiae	0.4319372608827335	300	#85D696	p__Firmicutes	#D1F0D8
s__Dialister_succinatiphilus	0.43743695176566744	440	#85D696	p__Firmicutes	#D1F0D8
s__Dialister_sp_CAG_357	0.44379967106407714	320	#85D696	p__Firmicutes	#D1F0D8
s__Dialister_pneumosintes	0.4479354386080434	400	#85D696	p__Firmicutes	#D1F0D8
s__Dialister_micraerophilus	0.4565701289012155	340	#85D696	p__Firmicutes	#D1F0D8
s__Dialister_invisus	0.4573204495731978	460	#85D696	p__Firmicutes	#D1F0D8
s__Anaeroglobus_geminatus	0.4589326250711056	120	#85D696	p__Firmicutes	#D1F0D8
s__Allisonella_histaminiformans	0.46551670057782857	420	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_sputigena	0.46910978013164495	360	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_sp_oral_taxon_920	0.47720394738072813	480	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_sp_oral_taxon_892	0.482967280078563	440	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_sp_oral_taxon_138	0.48338621140491816	380	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_sp_oral_taxon_126	0.4899293859775475	240	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_sp_FOBRC6	0.49119603843047166	260	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_sp_F0473	0.49190044576020703	220	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_noxia	0.49503053162196214	280	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_infelix	0.4970874451882584	500	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_flueggei	0.49820092106548014	400	#85D696	p__Firmicutes	#D1F0D8
s__Selenomonas_artemidis	0.4987796577676227	300	#85D696	p__Firmicutes	#D1F0D8
s__Schwartzia_succinivorans	0.500953680873056	460	#85D696	p__Firmicutes	#D1F0D8
s__Mitsuokella_sp_oral_taxon_131	0.502860073583993	200	#85D696	p__Firmicutes	#D1F0D8
s__Mitsuokella_multacida	0.504784283049238	100	#85D696	p__Firmicutes	#D1F0D8
s__Mitsuokella_jalaludinii	0.506631524135873	320	#85D696	p__Firmicutes	#D1F0D8
s__Megamonas_rupellensis	0.5134799471975201	420	#85D696	p__Firmicutes	#D1F0D8
s__Megamonas_hypermegale	0.5155506931523938	180	#85D696	p__Firmicutes	#D1F0D8
s__Megamonas_funiformis_CAG_377	0.5158454619878153	340	#85D696	p__Firmicutes	#D1F0D8
s__Megamonas_funiformis	0.519091849428592	480	#85D696	p__Firmicutes	#D1F0D8
s__Centipeda_periodontii	0.5247131899296944	360	#85D696	p__Firmicutes	#D1F0D8
s__Phascolarctobacterium_succinatutens	0.5284976083914585	440	#85D696	p__Firmicutes	#D1F0D8
s__Phascolarctobacterium_sp_CAG_266	0.5360591008910179	160	#85D696	p__Firmicutes	#D1F0D8
s__Phascolarctobacterium_sp	0.5361860879358391	380	#85D696	p__Firmicutes	#D1F0D8
s__Phascolarctobacterium_faecium	0.5371077337690201	500	#85D696	p__Firmicutes	#D1F0D8
s__Acidaminococcus_sp_CAG_542	0.5445869121729142	460	#85D696	p__Firmicutes	#D1F0D8
s__Acidaminococcus_intestini	0.5484664035229168	400	#85D696	p__Firmicutes	#D1F0D8
s__Acidaminococcus_fermentans	0.560979751476456	480	#85D696	p__Firmicutes	#D1F0D8
s__Limnochorda_pilosa	0.5614431938172115	420	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_95	0.5633657712133595	40	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_94	0.5656220546525119	300	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_83	0.5672510523941413	280	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_791	0.5687662274079974	260	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_646	0.5694633772076689	320	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_555	0.5737051900732753	240	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_534	0.5740279367043541	440	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_424	0.5751207950744153	340	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_238	0.5771280223497818	500	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_170	0.5775462502698928	140	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_145	0.5803165997277439	360	#85D696	p__Firmicutes	#D1F0D8
s__Firmicutes_bacterium_CAG_110	0.5821888158044883	80	#85D696	p__Firmicutes	#D1F0D8
s__Turicibacter_sanguinis	0.5829611023859982	220	#85D696	p__Firmicutes	#D1F0D8
s__Solobacterium_moorei	0.5882201434727725	460	#85D696	p__Firmicutes	#D1F0D8
s__Massiliomicrobiota_timonensis	0.58898596446676	380	#85D696	p__Firmicutes	#D1F0D8
s__Ileibacterium_valens	0.5987318859803535	400	#85D696	p__Firmicutes	#D1F0D8
s__Holdemania_filiformis	0.6028676535243198	480	#85D696	p__Firmicutes	#D1F0D8
s__Holdemanella_biformis	0.6042017720868895	200	#85D696	p__Firmicutes	#D1F0D8
s__Faecalitalea_cylindroides	0.6094064404369031	420	#85D696	p__Firmicutes	#D1F0D8
s__Faecalicoccus_pleomorphus	0.6171483109305436	500	#85D696	p__Firmicutes	#D1F0D8
s__Faecalibaculum_rodentium	0.6195582650172496	440	#85D696	p__Firmicutes	#D1F0D8
s__Erysipelothrix_larvae	0.6277504307806007	180	#85D696	p__Firmicutes	#D1F0D8
s__Erysipelatoclostridium_ramosum	0.6287484441840674	120	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_spiroforme	0.6318533747726307	460	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_innocuum	0.6322952302794647	320	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_cocleatum	0.6324644515374012	300	#85D696	p__Firmicutes	#D1F0D8
s__Eggerthia_catenaformis	0.6343961281610151	340	#85D696	p__Firmicutes	#D1F0D8
s__Dielma_fastidiosa	0.6359200095257933	360	#85D696	p__Firmicutes	#D1F0D8
s__Coprobacillus_cateniformis	0.6394715731663205	280	#85D696	p__Firmicutes	#D1F0D8
s__Catenibacterium_mitsuokai	0.6417858409976809	380	#85D696	p__Firmicutes	#D1F0D8
s__Candidatus_Stoquefichus_sp_KLE1796	0.6447555555721838	480	#85D696	p__Firmicutes	#D1F0D8
s__Absiella_dolichum	0.6463364163855232	260	#85D696	p__Firmicutes	#D1F0D8
s__Subdoligranulum_variabile	0.6489973684377902	400	#85D696	p__Firmicutes	#D1F0D8
s__Ruthenibacterium_lactatiformans	0.6571685995113052	500	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_sp_CAG_624	0.6573696870565946	420	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_sp_CAG_579	0.6574809941690032	240	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_sp_CAG_563	0.6617228070346096	160	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_sp_CAG_488	0.6650885933301451	440	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_sp_CAG_403	0.6740217590117892	220	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_sp_CAG_330	0.675486606072489	460	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_obeum_CAG_39	0.6866434576200476	480	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_lactaris	0.6915234193238426	360	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_callidus	0.6936714612476149	340	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_bromii	0.6945857175286018	380	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_bicirculans	0.6951270833512606	320	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcaceae_bacterium_D5	0.6971888880920669	500	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcaceae_bacterium_D16	0.6992628508952269	400	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_siraeum	0.6993068484222904	300	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_methylpentosum	0.7053329336762861	420	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_leptum	0.7055434705897862	200	#85D696	p__Firmicutes	#D1F0D8
s__Pseudoflavonifractor_sp_An85	0.707467680055031	100	#85D696	p__Firmicutes	#D1F0D8
s__Pseudoflavonifractor_sp_An184	0.7106189216430407	440	#85D696	p__Firmicutes	#D1F0D8
s__Pseudoflavonifractor_capillosus	0.7116920939384996	280	#85D696	p__Firmicutes	#D1F0D8
s__Hydrogenoanaerobacterium_saccharovorans	0.7191198373723472	460	#85D696	p__Firmicutes	#D1F0D8
s__Harryflintia_acetispora	0.723666838808953	140	#85D696	p__Firmicutes	#D1F0D8
s__Gemmiger_sp_An87	0.723906605363049	260	#85D696	p__Firmicutes	#D1F0D8
s__Gemmiger_sp_An50	0.7285313596679115	480	#85D696	p__Firmicutes	#D1F0D8
s__Gemmiger_sp_An194	0.7372091766728286	500	#85D696	p__Firmicutes	#D1F0D8
s__Gemmiger_sp_An120	0.7399501684088076	180	#85D696	p__Firmicutes	#D1F0D8
s__Gemmiger_formicilis	0.7412567982647309	240	#85D696	p__Firmicutes	#D1F0D8
s__Flavonifractor_sp_An82	0.7471268291218922	360	#85D696	p__Firmicutes	#D1F0D8
s__Flavonifractor_sp_An306	0.7473855940595227	380	#85D696	p__Firmicutes	#D1F0D8
s__Flavonifractor_sp_An100	0.7495283333526637	400	#85D696	p__Firmicutes	#D1F0D8
s__Flavonifractor_sp_An10	0.7529467943342149	340	#85D696	p__Firmicutes	#D1F0D8
s__Flavonifractor_plautii	0.7532961802959777	420	#85D696	p__Firmicutes	#D1F0D8
s__Faecalibacterium_prausnitzii	0.7561492499559364	440	#85D696	p__Firmicutes	#D1F0D8
s__Anaerotruncus_sp_CAG_528	0.7577821942203228	60	#85D696	p__Firmicutes	#D1F0D8
s__Anaerotruncus_colihominis	0.7579589364230566	320	#85D696	p__Firmicutes	#D1F0D8
s__Anaeromassilibacillus_sp_An250	0.7627530686722055	460	#85D696	p__Firmicutes	#D1F0D8
s__Anaeromassilibacillus_sp_An200	0.7650824156375804	220	#85D696	p__Firmicutes	#D1F0D8
s__Anaeromassilibacillus_sp_An172	0.7661492453071795	300	#85D696	p__Firmicutes	#D1F0D8
s__Anaerofilum_sp_An201	0.7704192617157755	480	#85D696	p__Firmicutes	#D1F0D8
s__Agathobaculum_butyriciproducens	0.7772294652535903	500	#85D696	p__Firmicutes	#D1F0D8
s__Acetivibrio_ethanolgignens	0.7839126147106787	280	#85D696	p__Firmicutes	#D1F0D8
s__Terrisporobacter_othiniensis	0.7873865131782013	160	#85D696	p__Firmicutes	#D1F0D8
s__Terrisporobacter_glycolicus	0.7985642632970291	120	#85D696	p__Firmicutes	#D1F0D8
s__Romboutsia_lituseburensis	0.7997938158101003	400	#85D696	p__Firmicutes	#D1F0D8
s__Romboutsia_ilealis	0.8001854705904435	380	#85D696	p__Firmicutes	#D1F0D8
s__Romboutsia_hominis	0.8012594269156691	420	#85D696	p__Firmicutes	#D1F0D8
s__Peptostreptococcus_stomatis	0.8014767943405747	260	#85D696	p__Firmicutes	#D1F0D8
s__Peptostreptococcus_sp_MV1	0.8016795782688318	440	#85D696	p__Firmicutes	#D1F0D8
s__Peptostreptococcus_anaerobius	0.8027302389199416	360	#85D696	p__Firmicutes	#D1F0D8
s__Peptostreptococcaceae_bacterium_oral_taxon_113	0.8063862999720637	460	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_hiranonis	0.8068851690926827	200	#85D696	p__Firmicutes	#D1F0D8
s__Peptoanaerobacter_stomatis	0.8122221274208148	340	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_yurii	0.8123071637636394	480	#85D696	p__Firmicutes	#D1F0D8
s__Paraclostridium_bifermentans	0.8172497538343519	500	#85D696	p__Firmicutes	#D1F0D8
s__Paraclostridium_benzoelyticum	0.8207907894948523	320	#85D696	p__Firmicutes	#D1F0D8
s__Paeniclostridium_sordellii	0.8250326023604587	240	#85D696	p__Firmicutes	#D1F0D8
s__Intestinibacter_bartlettii	0.8329916421920688	300	#85D696	p__Firmicutes	#D1F0D8
s__Filifactor_alocis	0.8335162280916718	80	#85D696	p__Firmicutes	#D1F0D8
s__Criibacterium_bergeronii	0.8472099065817273	440	#85D696	p__Firmicutes	#D1F0D8
s__Clostridioides_difficile	0.8492226735353605	420	#85D696	p__Firmicutes	#D1F0D8
s__Peptococcus_niger	0.8500195312719219	460	#85D696	p__Firmicutes	#D1F0D8
s__Desulfotomaculum_ruminis	0.850059298267537	400	#85D696	p__Firmicutes	#D1F0D8
s__Oscillibacter_sp_PC13	0.8521499060370145	180	#85D696	p__Firmicutes	#D1F0D8
s__Oscillibacter_sp_CAG_241	0.8529853471213644	380	#85D696	p__Firmicutes	#D1F0D8
s__Oscillibacter_sp_57_20	0.8541950658115033	480	#85D696	p__Firmicutes	#D1F0D8
s__Tyzzerella_sp_An114	0.8561331354828579	280	#85D696	p__Firmicutes	#D1F0D8
s__Tyzzerella_nexilis	0.8561430722633714	220	#85D696	p__Firmicutes	#D1F0D8
s__Stomatobaculum_longum	0.8572700424151136	500	#85D696	p__Firmicutes	#D1F0D8
s__Shuttleworthia_satelles	0.8583336487179911	360	#85D696	p__Firmicutes	#D1F0D8
s__Sellimonas_intestinalis	0.8697874273480132	140	#85D696	p__Firmicutes	#D1F0D8
s__Roseburia_sp_CAG_471	0.8714974605074146	340	#85D696	p__Firmicutes	#D1F0D8
s__Roseburia_sp_CAG_309	0.8790469833181005	260	#85D696	p__Firmicutes	#D1F0D8
s__Roseburia_sp_CAG_303	0.8836226425666482	320	#85D696	p__Firmicutes	#D1F0D8
s__Roseburia_sp_CAG_182	0.892740234894623	440	#85D696	p__Firmicutes	#D1F0D8
s__Roseburia_sp_831b	0.8936527625717802	460	#85D696	p__Firmicutes	#D1F0D8
s__Roseburia_sp_499	0.8960829678593671	480	#85D696	p__Firmicutes	#D1F0D8
s__Roseburia_inulinivorans	0.897185920155052	420	#85D696	p__Firmicutes	#D1F0D8
s__Roseburia_intestinalis	0.8972903309958754	500	#85D696	p__Firmicutes	#D1F0D8
s__Roseburia_hominis	0.899834039076958	300	#85D696	p__Firmicutes	#D1F0D8
s__Roseburia_faecis	0.9003247807249737	400	#85D696	p__Firmicutes	#D1F0D8
s__Robinsoniella_sp_RHS	0.9057852236522854	380	#85D696	p__Firmicutes	#D1F0D8
s__Oribacterium_sp_oral_taxon_078	0.9082268675955792	200	#85D696	p__Firmicutes	#D1F0D8
s__Oribacterium_sinus	0.9088084064561865	240	#85D696	p__Firmicutes	#D1F0D8
s__Oribacterium_parvum	0.9101510770608241	100	#85D696	p__Firmicutes	#D1F0D8
s__Oribacterium_asaccharolyticum	0.9130502193217931	160	#85D696	p__Firmicutes	#D1F0D8
s__Murimonas_intestini	0.9139370585160405	360	#85D696	p__Firmicutes	#D1F0D8
s__Marvinbryantia_formatexigens	0.928353656255037	280	#85D696	p__Firmicutes	#D1F0D8
s__Lachnospira_pectinoschiza	0.9307727935940144	340	#85D696	p__Firmicutes	#D1F0D8
s__Lachnospiraceae_bacterium_oral_taxon_096	0.9372859938716385	460	#85D696	p__Firmicutes	#D1F0D8
s__Lachnospiraceae_bacterium_2_1_46FAA	0.9373106195766371	500	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_rectale	0.9379708699072311	480	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoclostridium_sp_An76	0.9382705632075184	440	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoclostridium_sp_An298	0.9451491667747436	420	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoclostridium_sp_An196	0.946454495638444	320	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoclostridium_sp_An181	0.9472037288891626	220	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoclostridium_sp_An169	0.9505902631824104	400	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoclostridium_sp_An14	0.9566171722956263	260	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoclostridium_sp_An138	0.9585851001832062	380	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoclostridium_sp_An131	0.9643496436652214	180	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoclostridium_sp_An118	0.9666764359618473	300	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoclostridium_phytofermentans	0.9683800824099908	120	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_symbiosum	0.96954046831409	360	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_scindens	0.9773309081573988	500	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_saccharolyticum	0.979858771955095	480	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_lavalense	0.9809192251714967	460	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_hylemonae	0.9838008915204141	440	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_clostridioforme	0.9900481266806144	340	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_citroniae	0.9925842105519144	240	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_celerecrescens	0.9931124133944351	420	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_bolteae	1.0005741770272163	280	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_asparagiforme	1.000855745639847	400	#85D696	p__Firmicutes	#D1F0D8
s__Clostridium_aldenense	1.00928634871024	320	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoanaerobaculum_umeaense	1.009568566098476	200	#85D696	p__Firmicutes	#D1F0D8
s__Lachnoanaerobaculum_saburreum	1.0113849767141272	380	#85D696	p__Firmicutes	#D1F0D8
s__Johnsonella_ignava	1.0159080158870732	140	#85D696	p__Firmicutes	#D1F0D8
s__Fusicatenibacter_saccharivorans	1.0173511967381605	500	#85D696	p__Firmicutes	#D1F0D8
s__Faecalicatena_orotica	1.021746674002959	480	#85D696	p__Firmicutes	#D1F0D8
s__Faecalicatena_contorta	1.0245524564713548	460	#85D696	p__Firmicutes	#D1F0D8
s__Eisenbergiella_tayi	1.0251438781121394	360	#85D696	p__Firmicutes	#D1F0D8
s__Eisenbergiella_massiliensis	1.0293312198333098	440	#85D696	p__Firmicutes	#D1F0D8
s__Dorea_sp_D27	1.0335188328467364	300	#85D696	p__Firmicutes	#D1F0D8
s__Dorea_sp_CAG_317	1.034187361273152	260	#85D696	p__Firmicutes	#D1F0D8
s__Dorea_longicatena	1.0382643855149536	220	#85D696	p__Firmicutes	#D1F0D8
s__Dorea_formicigenerans	1.038713925465385	160	#85D696	p__Firmicutes	#D1F0D8
s__Coprococcus_eutactus	1.0410756600141267	420	#85D696	p__Firmicutes	#D1F0D8
s__Coprococcus_comes	1.0493234597672143	340	#85D696	p__Firmicutes	#D1F0D8
s__Coprococcus_catus	1.0511212280972837	400	#85D696	p__Firmicutes	#D1F0D8
s__Cellulosilyticum_lentocellum	1.0573714853189222	500	#85D696	p__Firmicutes	#D1F0D8
s__Catonella_morbi	1.0636345760508228	480	#85D696	p__Firmicutes	#D1F0D8
s__Butyrivibrio_sp_CAG_318	1.064184853245048	380	#85D696	p__Firmicutes	#D1F0D8
s__Butyrivibrio_crossotus	1.067081049004128	20	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_torques	1.068185687771213	460	#85D696	p__Firmicutes	#D1F0D8
s__Ruminococcus_gnavus	1.0721182017820359	320	#85D696	p__Firmicutes	#D1F0D8
s__Blautia_wexlerae	1.0727946977993954	280	#85D696	p__Firmicutes	#D1F0D8
s__Blautia_sp_N6H1_15	1.0748615481462052	440	#85D696	p__Firmicutes	#D1F0D8
s__Blautia_sp_CAG_257	1.0763600146476422	240	#85D696	p__Firmicutes	#D1F0D8
s__Blautia_sp_An249	1.0765493812934281	180	#85D696	p__Firmicutes	#D1F0D8
s__Blautia_producta	1.0807472879101887	360	#85D696	p__Firmicutes	#D1F0D8
s__Blautia_obeum	1.0848436403788553	80	#85D696	p__Firmicutes	#D1F0D8
s__Blautia_hydrogenotrophica	1.0869645468116582	40	#85D696	p__Firmicutes	#D1F0D8
s__Blautia_hansenii	1.0890389066338182	420	#85D696	p__Firmicutes	#D1F0D8
s__Blautia_coccoides	1.097391773899684	500	#85D696	p__Firmicutes	#D1F0D8
s__Anaerotignum_lactatifermentans	1.1003612297316256	300	#85D696	p__Firmicutes	#D1F0D8
s__Anaerostipes_sp_992a	1.1013867105547206	400	#85D696	p__Firmicutes	#D1F0D8
s__Anaerostipes_sp_494a	1.1055224780986868	480	#85D696	p__Firmicutes	#D1F0D8
s__Anaerostipes_hadrus	1.1068480446191886	60	#85D696	p__Firmicutes	#D1F0D8
s__Anaerostipes_caccae	1.1085987928538141	340	#85D696	p__Firmicutes	#D1F0D8
s__Anaerosporobacter_mobilis	1.1109102646013724	200	#85D696	p__Firmicutes	#D1F0D8
s__Anaerocolumna_aminovalerica	1.1117575502506778	260	#85D696	p__Firmicutes	#D1F0D8
s__Acetatifactor_muris	1.1118189190710714	460	#85D696	p__Firmicutes	#D1F0D8
s__Mageeibacillus_indolicus	1.1128344740666174	100	#85D696	p__Firmicutes	#D1F0D8
s__Pseudoramibacter_alactolyticus	1.116984729775969	380	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_ventriosum	1.1203918764591005	440	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_sp_OM08_24	1.1293250421407448	220	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_sp_CAG_786	1.1349500548538316	320	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_sp_CAG_38	1.1363506977082383	360	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_sp_CAG_274	1.1370021532535095	420	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_sp_CAG_251	1.1374120624804456	500	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_sp_CAG_180	1.1381959015229528	120	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_sp_An11	1.1450152185715745	280	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_sp_68_3_10	1.1474103801465505	480	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_ramulus	1.1516521930121573	400	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_pyruvativorans	1.1554521503709296	460	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_maltosivorans	1.16013581874337	240	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_limosum	1.1620286044261334	140	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_hallii	1.1643776316089767	160	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_eligens	1.1659222047719964	440	#85D696	p__Firmicutes	#D1F0D8
s__Eubacterium_dolichum_CAG_375	1.1672036266165149	300	#85D696	p__Firmicutes	#D1F0D8
